ASN,NAME,type,EXAMPLE IP ADDRESS
AS197540,netcup GmbH,tor,202.61.224.170
AS60729,Stiftung Erneuerbare Freiheit,tor,185.220.101.176
AS215125,Church of Cyberology,tor,192.42.116.13
AS14061,"DigitalOcean, LLC",tor,46.101.165.197
AS31898,Oracle Corporation,tor,132.145.199.133
AS53667,FranTech Solutions,tor,209.141.51.180
AS401401,Unredacted Inc,tor,23.191.200.49
AS36352,HostPapa,tor,104.223.62.71
AS63949,Akamai Connected Cloud,tor,172.105.161.162
AS11878,"tzulo, inc.",tor,173.249.215.26
AS396507,Emerald Onion,tor,23.129.64.190
AS3320,Deutsche Telekom AG,tor,79.199.246.105
AS51167,Contabo GmbH,tor,207.180.244.2
AS20473,"The Constant Company, LLC",tor,95.179.160.189
AS29222,Infomaniak Network SA,tor,83.228.223.159
AS12876,Scaleway SAS,tor,51.15.246.170
AS9009,M247 Europe SRL,tor,85.122.127.90
AS7018,"AT&T Enterprises, LLC",tor,107.208.159.58
AS3209,Vodafone GmbH,tor,5.56.221.7
AS200651,FlokiNET ehf,tor,185.146.232.197
AS51852,Private Layer INC,tor,179.43.182.33
AS4837,CHINA UNICOM China169 Backbone,vpn,119.178.89.32
AS4134,CHINANET BACKBONE,vpn,123.168.144.140
AS3320,Deutsche Telekom AG,vpn,217.235.206.4
AS3462,Data Communication Business Group,vpn,114.27.17.187
AS2514,"NTT PC Communications, Inc.",vpn,210.136.19.248
AS2527,Sony Network Communications Inc.,vpn,121.103.87.166
AS12389,PJSC Rostelecom,vpn,213.155.199.87
AS1221,Telstra Limited,vpn,139.130.101.124
AS8881,1&1 Versatel GmbH,vpn,92.116.35.139
AS7922,"Comcast Cable Communications, LLC",vpn,173.15.87.5
AS4766,Korea Telecom,vpn,14.58.47.250
AS4685,Asahi Net,vpn,220.157.196.133
AS3209,Vodafone GmbH,vpn,2.206.180.155
AS2519,ARTERIA Networks Corporation,vpn,122.222.204.210
AS212238,Datacamp Limited,vpn,212.102.39.72
AS30873,Public Telecommunication Corporation,vpn,188.209.248.150
AS9595,NTT-ME Corporation,vpn,61.115.119.136
AS7018,"AT&T Enterprises, LLC",vpn,107.135.251.205
AS6805,Telefonica Germany GmbH & Co.OHG,vpn,77.183.184.223
AS17676,SoftBank Corp.,vpn,126.125.179.233
AS16509,"Amazon.com, Inc.",vpn,13.114.188.90
AS9009,M247 Europe SRL,vpn,217.138.222.186
AS4713,"NTT DOCOMO BUSINESS,Inc.",vpn,180.52.3.189
AS2518,BIGLOBE Inc.,vpn,125.194.161.36
AS31655,Gamma Telecom Holdings Ltd,vpn,89.213.18.2
AS16509,"Amazon.com, Inc.",webserver,35.74.69.202
AS16625,"Akamai Technologies, Inc.",webserver,88.221.70.121
AS14618,"Amazon.com, Inc.",webserver,44.215.212.151
AS396982,Google LLC,webserver,34.43.1.203
AS8075,Microsoft Corporation,webserver,128.251.13.7
AS37963,"Hangzhou Alibaba Advertising Co.,Ltd.",webserver,47.93.156.232
AS14061,"DigitalOcean, LLC",webserver,64.226.110.115
AS16276,OVH SAS,webserver,5.135.89.91
AS47583,Hostinger International Limited,webserver,193.203.163.29
AS4766,Korea Telecom,webserver,125.137.59.97
AS13335,"Cloudflare, Inc.",webserver,190.93.246.1
AS31898,Oracle Corporation,webserver,158.101.138.144
AS45090,Shenzhen Tencent Computer Systems Company Limited,webserver,43.137.154.104
AS45102,"Alibaba (US) Technology Co., Ltd.",webserver,8.222.185.211
AS24940,Hetzner Online GmbH,webserver,95.217.24.101
AS3462,Data Communication Business Group,webserver,125.228.108.86
AS3320,Deutsche Telekom AG,webserver,217.86.226.61
AS132839,POWER LINE DATACENTER,webserver,192.250.255.116
AS174,"Cogent Communications, LLC",webserver,154.55.198.25
AS20940,Akamai International B.V.,webserver,23.37.231.34
AS20473,"The Constant Company, LLC",webserver,192.248.179.137
AS134548,DXTL Tseung Kwan O Service,webserver,156.237.153.109
AS54600,PEG TECH INC,webserver,137.175.9.252
AS63949,Akamai Connected Cloud,webserver,139.144.183.11
AS36352,HostPapa,webserver,198.46.240.219
